Location,Crossnumber,FemalePlotName,Mother,Cycle,Father,MalePlotName,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Number_of_Embryo_Rescued,Good_Seeds,Number_of_Embryo_Germinating,Germination_Date
Kawanda,SE202010_(243636C1/242999),Nabio1117-R-6--C-56,Nabio1117,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(243674C1/242896),246K-1-R-2--C-48,246K-1,1,AG201087-4,AG201087-4-R-7--C-29,2020-10-10 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(243674C2/242896),246K-1-R-2--C-48,246K-1,2,AG201087-4,AG201087-4-R-7--C-29,2020-10-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(243766C1/242999),401K-1-R-6--C-40,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-09 00:00:00+00:00,2021-01-24 21:00:00+00:00,,,,,,,
Kawanda,SE202010_(243772C1/242999),199K-3-R-7--C-53,199K-3,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-04 00:00:00+00:00,2021-01-26 21:00:00+00:00,,,,,,,
Kawanda,SE202010_(243790C1/243057),1411K-1-R-4--C-59,1411K-1,1,AG201087-4,AG201087-4-R-8--C-24,2020-10-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(243801C1/242896),199K-3-R-2--C-53,199K-3,1,AG201087-4,AG201087-4-R-7--C-29,2020-10-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(243801C2/242896),199K-3-R-2--C-53,199K-3,2,AG201087-4,AG201087-4-R-7--C-29,2020-10-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(243822C1/243057),660K-1-R-1--C-37,660K-1,1,AG201087-4,AG201087-4-R-8--C-24,2020-10-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(243918C1/242996),Enzirabahima-r3-c50,ITC1354-Enzirabahima,1,2905,2905-R-1--C-24,2020-10-14 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(243965C1/242999),401K-1-r6-c27,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-05 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244002C1/244010),IITA-Nakyetengu-r5-c32,IITA-Nakyetengu,1,2905,2905-r5-c31,2020-10-17 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244004C2/242996),Namande-r4-c47,Namande,2,2905,2905-R-1--C-24,2020-09-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244044C1/242999),365K-1-r1-c18,365K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244141C1/242999),1747K-1-r6-c4,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-07 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244170C1/242999),222K-1-r6-c10,222K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244173C1/242999),401K-1-r6-c26,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-26 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244191C1/242999),1747K-1-r4-c3,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-07 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244231C2/242999),1747K-1-r3-c3,1747K-1,2,AG201087-4,AG201087-4-R-7--C-22,2020-10-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244254C1/244322),Nakawere-r5-c39,Nakawere,1,2905,2905-r7-c31,2020-10-10 00:00:00+00:00,2021-01-24 21:00:00+00:00,,,,,,,
Kawanda,SE202010_(244290C1/242999),1747K-1-r1-c4,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244304C1/242999),222K-1-r3-c9,222K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244314C1/242996),Namande-r3-c46,Namande,1,2905,2905-R-1--C-24,2020-10-19 00:00:00+00:00,2020-12-30 21:00:00+00:00,2021-01-15 00:00:00+00:00,0.0,,,,,
Kawanda,SE202010_(244324C1/242999),401K-1-r3-c27,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-05 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244337C1/244322),Nakawere-r7-c38,Nakawere,1,2905,2905-r7-c31,2020-10-05 00:00:00+00:00,2020-12-30 21:00:00+00:00,2021-01-15 00:00:00+00:00,0.0,,,,,
Kawanda,SE202010_(244379C1/242999),222K-1-r6-c12,222K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-01 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244384C1/242999),1747K-1-r3-c2,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240009C1/242855),enz-r6-c3,ITC1354-Enzirabahima,1,2905,2905-R-1--C-25,2020-11-02 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240013C1/242875),enz-r3-c12,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240038C1/242875),enz-r7-c8,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240084C1/242875),enz-r1-c12,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-24 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240103C1/242875),enz-r3-c9,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240107C1/242875),enz-r3-c2,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240130C1/242875),enz-r5-c10,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-07 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240132C1/242875),enz-r9-c6,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240139C1/242875),enz-r2-c1,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-08 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240148C1/242875),enz-r8-c8,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240149C1/242875),enz-r4-c15,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240179C1/242875),enz-r7-c2,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240268C1/242875),enz-r1-c6,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242310C1/243074),Bitambi-R-6-C-7,Bitambi,1,2905,2905-R-2--C-24,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242343C1/242829),Nakawere-R-3-C-10,Nakawere,1,2905,2905-R-2--C-22,2020-11-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242386C1/242829),Kabucuragye-R-6-C-20,Kabucuragye,1,2905,2905-R-2--C-22,2020-11-20 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242392C2/242850),Nakawere-R-8-C-11,Nakawere,2,2905,2905-R-2--C-23,2020-11-10 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242458C1/242850),Namande-R-4-C-3,Namande,1,2905,2905-R-2--C-23,2020-11-02 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242465C1/242850),Kabucuragye-R-6-C-21,Kabucuragye,1,2905,2905-R-2--C-23,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242486C1/243074),Namande-R-8-C-4,Namande,1,2905,2905-R-2--C-24,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242500C1/242850),Nakawere-R-6-C-8,Nakawere,1,2905,2905-R-2--C-23,2020-11-15 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242524C1/242829),IITA-Nakyetengu-R-1-C-24,IITA-Nakyetengu,1,2905,2905-R-2--C-22,2020-11-20 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242532C1/242829),Namande-R-1-C-2,Namande,1,2905,2905-R-2--C-22,2020-11-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242536C1/242850),Nakawere-R-7-C-14,Nakawere,1,2905,2905-R-2--C-23,2020-11-15 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242547C1/242850),Bitambi-R-1-C-5,Bitambi,1,2905,2905-R-2--C-23,2020-11-10 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242547C2/242850),Bitambi-R-1-C-5,Bitambi,2,2905,2905-R-2--C-23,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242811C1/242977),222K-1-R-4--C-17,222K-1,1,402,402-R-3--C-25,2020-11-11 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242834C1/242977),660K-1-R-4--C-9,660K-1,1,402,402-R-3--C-25,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242843C1/242977),917K-1-R-2--C-7,917K-1,1,402,402-R-3--C-25,2020-11-28 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242902C1/242839),401K-1-R-8--C-7,401K-1,1,402,402-R-4--C-26,2020-11-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242905C1/242977),660K-1-R-1--C-14,660K-1,1,402,402-R-3--C-25,2020-11-02 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242909C1/243029),917K-1-R-4--C-3,917K-1,1,AG201087-4,AG201087-4-R-7--C-24,2020-11-24 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242916C1/243074),660K-1-R-3--C-10,660K-1,1,2905,2905-R-2--C-24,2020-11-03 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242928C1/242839),376K-1-R-8--C-9,376K-1,1,402,402-R-4--C-26,2020-11-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242933C1/242845),660K-1-R-1--C-12,660K-1,1,2905,2905-R-1--C-22,2020-11-02 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242955C1/242839),401K-1-R-9--C-4,401K-1,1,402,402-R-4--C-26,2020-11-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(242986C1/242839),401K-1-R-6--C-2,401K-1,1,402,402-R-4--C-26,2020-11-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243002C1/243029),376K-1-R-8--C-8,376K-1,1,AG201087-4,AG201087-4-R-7--C-24,2020-11-24 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243006C1/242839),1201K-1-R-9--C-18,1201K-1,1,402,402-R-4--C-26,2020-11-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243025C1/243074),401K-1-R-7--C-4,401K-1,1,2905,2905-R-2--C-24,2020-11-03 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243025C2/243074),401K-1-R-7--C-4,401K-1,2,2905,2905-R-2--C-24,2020-11-07 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243049C1/243029),660K-1-R-2--C-10,660K-1,1,AG201087-4,AG201087-4-R-7--C-24,2020-11-24 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243386C1/242999),1411K-1-R-8--C-58,1411K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243386C2/242999),1411K-1-R-8--C-58,1411K-1,2,AG201087-4,AG201087-4-R-7--C-22,2020-11-21 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243395C1/242896),Nabio1117-R-2--C-57,Nabio1117,1,AG201087-4,AG201087-4-R-7--C-29,2020-11-09 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243423C1/242896),917K-2-R-4--C-50,917K-2,1,AG201087-4,AG201087-4-R-7--C-29,2020-11-03 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243450C1/242999),1201K-1-R-4--C-46,1201K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-30 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243466C1/242999),401K-1-R-5--C-63,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-11 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243472C1/242946),246K-1-R-5--C-48,246K-1,1,AG201087-4,AG201087-4-R-8--C-23,2020-11-21 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243502C1/242946),Nabio1117-R-1--C-56,Nabio1117,1,AG201087-4,AG201087-4-R-8--C-23,2020-11-13 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243611C1/242896),246K-1-R-8--C-54,246K-1,1,AG201087-4,AG201087-4-R-7--C-29,2020-11-02 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243617C1/242999),1411K-1-R-6--C-60,1411K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243649C1/243057),660K-1-R-7--C-37,660K-1,1,AG201087-4,AG201087-4-R-8--C-24,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243668C1/242999),401K-1-R-5--C-41,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243673C1/242999),1201K-1-R-8--C-47,1201K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-15 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243690C1/242999),401K-1-R-7--C-62,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-08 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243691C1/242999),401K-1-R-4--C-41,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243709C1/242896),199K-3-R-3--C-53,199K-3,1,AG201087-4,AG201087-4-R-7--C-29,2020-11-30 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243715C1/242896),1411K-1-R-2--C-58,1411K-1,1,AG201087-4,AG201087-4-R-7--C-29,2020-11-14 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243741C1/242946),1411K-1-R-1--C-45,1411K-1,1,AG201087-4,AG201087-4-R-8--C-23,2020-11-25 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243754C1/242999),660K-1-R-3--C-37,660K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-10 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243754C2/242999),660K-1-R-3--C-37,660K-1,2,AG201087-4,AG201087-4-R-7--C-22,2020-11-28 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243765C1/242896),917K-2-R-5--C-51,917K-2,1,AG201087-4,AG201087-4-R-7--C-29,2020-11-08 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243772C2/242999),199K-3-R-7--C-53,199K-3,2,AG201087-4,AG201087-4-R-7--C-22,2020-11-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243817C1/242999),1154K-1-R-8--C-49,1154K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-30 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243851C1/242999),1201K-1-R-3--C-46,1201K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-30 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243853C1/242999),401K-1-R-7--C-41,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243893C1/242999),401K-1-r2-c26,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-10 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243903C1/244010),IITA-Nakyetengu-r4-c32,IITA-Nakyetengu,1,2905,2905-r5-c31,2020-11-07 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243921C1/242999),1747K-1-r1-c2,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-03 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243922C1/244357),Nakawere-r6-c40,Nakawere,1,2905,2905-r6-c31,2020-11-08 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243924C1/242999),1747K-1-r7-c3,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-05 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243960C1/243057),660K-1-r1-c8,660K-1,1,AG201087-4,AG201087-4-R-8--C-24,2020-11-28 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243968C1/242999),376K-1-r3-c24,376K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-19 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243970C1/244322),IITA-Nakyetengu-r7-c33,IITA-Nakyetengu,1,2905,2905-r7-c31,2020-11-15 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243979C1/242999),1747K-1-r6-c3,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-07 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(243985C1/242999),1747K-1-r1-c3,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-06 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244038C1/242999),376K-1-r4-c22,376K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-06 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244064C1/242996),Namande-r3-c49,Namande,1,2905,2905-R-1--C-24,2020-11-08 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244080C1/243057),1201K-r7-c15,1201K-1,1,AG201087-4,AG201087-4-R-8--C-24,2020-11-27 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244091C1/242999),1201K-r1-c15,1201K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-05 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244101C1/242999),1201K-r1-c13,1201K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-03 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244156C1/242999),376K-1-r7-c23,376K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-17 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244193C1/242999),401K-1-r5-c25,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244199C1/243057),222K-1-r6-c9,222K-1,1,AG201087-4,AG201087-4-R-8--C-24,2020-11-14 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244256C1/244357),Nakawere-r6-c39,Nakawere,1,2905,2905-r6-c31,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244273C1/242999),1201K-r5-c13,1201K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-21 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244283C1/243057),1747K-1-r1-c1,1747K-1,1,AG201087-4,AG201087-4-R-8--C-24,2020-11-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244308C1/242999),401K-1-r7-c25,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-27 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244366C1/242999),365K-1-r7-c18,365K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-11-27 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244378C1/243938),IITA-Nakyetengu-r3-c35,IITA-Nakyetengu,1,2905,2905-r3-c31,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244387C1/242996),Enzirabahima-r3-c52,ITC1354-Enzirabahima,1,2905,2905-R-1--C-24,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(244406C1/244242),Nakawere-r1-c37,Nakawere,1,2905,2905-r1-c31,2020-11-02 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(240003C1/242875),enz-r3-c1,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-12-10 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(240032C1/242875),enz-r8-c2,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-12-01 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(240078C1/242875),enz-r2-c3,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-12-31 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(240122C1/242875),enz-r6-c1,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-12-28 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(240188C1/242875),enz-r9-c13,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-12-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(240226C1/242875),enz-r9-c2,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-12-01 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(240292C1/242875),enz-r8-c5,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-12-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(240308C1/242875),enz-r4-c2,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-12-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(242318C1/242829),Nakawere-R-4-C-14,Nakawere,1,2905,2905-R-2--C-22,2020-12-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(242318C2/242829),Nakawere-R-4-C-14,Nakawere,2,2905,2905-R-2--C-22,2020-12-25 00:00:00+00:00,,,,,,,,
Kawanda,SE202012_(242355C1/242829),Nakawere-R-8-C-9,Nakawere,1,2905,2905-R-2--C-22,2020-12-29 00:00:00+00:00,,,,,,,,
